YEAR,state abb,RATE,DEATHS,state lowercase,STATE,
1999,GA,3.5,283,georgia,Georgia,
1999,HI,6.5,80,hawaii,Hawaii,
1999,ID,5.3,64,idaho,Idaho,
1999,IL,6.7,825,illinois,Illinois,
1999,IN,3.2,191,indiana,Indiana,
1999,IA,1.9,53,iowa,Iowa,
1999,KS,3.4,89,kansas,Kansas,
1999,KY,4.9,197,kentucky,Kentucky,
1999,LA,4.3,188,louisiana,Louisiana,
1999,ME,5.3,67,maine,Maine,
1999,MD,11.4,629,maryland,Maryland,
1999,MA,7.5,488,massachusetts,Massachusetts,
1999,MI,4.6,460,michigan,Michigan,
1999,MN,2.8,136,minnesota,Minnesota,
1999,MS,3.2,87,mississippi,Mississippi,
1999,MO,5,276,missouri,Missouri,
1999,MT,4.6,41,montana,Montana,
1999,NE,2.3,39,nebraska,Nebraska,
1999,NV,11.5,227,nevada,Nevada,
1999,NH,4.3,54,new hampshire,New Hampshire,
1999,NJ,6.5,557,new jersey,New Jersey,
1999,NM,15,266,new mexico,New Mexico,
1999,NY,5,959,new york,New York,
1999,NC,4.6,366,north carolina,North Carolina,
1999,ND,0,12,north dakota,North Dakota,
1999,OH,4.2,467,ohio,Ohio,
1999,OK,5.4,178,oklahoma,Oklahoma,
1999,OR,6.1,210,oregon,Oregon,
1999,PA,8.1,990,pennsylvania,Pennsylvania,
1999,RI,5.5,58,rhode island,Rhode Island,
1999,SC,3.7,147,south carolina,South Carolina,
1999,SD,0,17,south dakota,South Dakota,
1999,TN,6.1,344,tennessee,Tennessee,
1999,TX,5.4,"1,087",texas,Texas,
1999,UT,10.6,205,utah,Utah,
1999,VT,4.7,29,vermont,Vermont,
1999,VA,5,366,virginia,Virginia,
1999,WA,9.3,555,washington,Washington,
1999,WV,4.1,75,west virginia,West Virginia,
1999,WI,4,212,wisconsin,Wisconsin,
1999,WY,4.1,20,wyoming,Wyoming,
